source	target
Both UKIP and the Tories will be offering a referendum on the issue of Britain 's membership . ''	subject<is>buying<and>relation<is>hot dogs<and>object<is>small crew<then>subject<is>buying<and>relation<is>hamburgers<and>object<is>small crew
Mandela 's open support of the predominantly white rugby fraternity during the 1995 Rugby World Cup was considered instrumental in bringing together South African sports fans of all races .	subject<is>The City of Brass<and>relation<is>can be considered early examples of<and>object<is>proto-science fiction<then>subject<is>The Ebony Horse<and>relation<is>can be considered early examples of<and>object<is>proto-science fiction
The term human rights probably came into use some time between Paine 's The Rights of Man and William Lloyd Garrison 's 1831 writings in The Liberator , in which he stated that he was trying to enlist his readers in `` the great cause of human rights '' .	subject<is>energy conservation law<and>relation<is>is<and>object<is>consequence of shift symmetry of time<then>subject<is>energy conservation<and>relation<is>is implied by<and>object<is>empirical fact that laws of physics do not change with time itself
These shipments are made using fossil fuel burning modes of transportation .	subject<is>this house<and>relation<is>you find<and>object<is>a veritable architectural promenade<then>subject<is>a veritable architectural promenade<and>relation<is>offering<and>object<is>constantly varying aspects<then>subject<is>a veritable architectural promenade<and>relation<is>offering<and>object<is>unexpected<then>subject<is>a veritable architectural promenade<and>relation<is>offering<and>object<is>sometimes astonishing
The feudal system was slowly disintegrating throughout the hundred years war .	subject<is>Feerick<and>relation<is>could spend to<and>object<is>9 to 45 months in jail<then>subject<is>Feerick<and>relation<is>could pay between<and>object<is>US$ 10,000 and US$ 50,000 in fines
The special equipment is able to search far enough above the ocean floor that it should n't hit any debris , according to Martin Dolan of the Australian Transport Safety Bureau -LRB- ATSB -RRB- , which is coordinating the search .	subject<is>Condoleezza Rice<and>relation<is>criticized<and>object<is>Israel's increased settlement construction in the West Bank<then>subject<is>Condoleezza Rice<and>relation<is>was<and>object<is>United States Secretary of State<then>subject<is>Condoleezza Rice<and>relation<is>was speaking in<and>object<is>Jerusalem on 26 August 2008
In former times , mass spectrometry was restricted to neutral molecules exhibiting some volatility , but advanced ionization techniques allow one to obtain the `` mass spec '' of virtually any organic compound .	subject<is>The flag<and>relation<is>should be lowered at<and>object<is>our Embassy in S. Africa<then>subject<is>The flag<and>relation<is>should not be lowered<and>object<is>here
Pioneering research by Franz H. Müller in 1939 demonstrated a causal link between tobacco smoking and lung cancer .	subject<is>He<and>relation<is>speaks approvingly of<and>object<is>this<then>subject<is>He<and>relation<is>speaks approvingly of<and>object<is>other forms of divine madness<then>subject<is>He<and>relation<is>speaks approvingly of<and>object<is>drunkenness<then>subject<is>He<and>relation<is>speaks approvingly of<and>object<is>eroticism<then>subject<is>He<and>relation<is>speaks approvingly of<and>object<is>dreaming<then>subject<is>He<and>relation<is>in<and>object<is>the Phaedrus<then>subject<is>He<and>relation<is>wants to outlaw<and>object<is>Homer's great poetry<then>subject<is>He<and>relation<is>wants to outlaw<and>object<is>laughter
; this derives from Shakespeare 's Julius Caesar , where it actually forms the first half of a macaronic line : `` Et tu , Brute ?	subject<is>influenza B<and>relation<is>mutates enough that<and>object<is>lasting immunity is not possible
Ed Miliband , leader of the opposition Labour Party , said the proposal to go to war was an `` ill-thought through action '' , it lacked international support , and Cameron had acted in a `` cavalier and reckless '' manner .	subject<is>player<and>relation<is>addresses<and>object<is>ball<then>subject<is>player<and>relation<is>takes<and>object<is>stance<then>subject<is>player<and>relation<is>grounds<and>object<is>club<then>subject<is>ball<and>relation<is>lies in<and>object<is>hazard
Typically , the three sizes of steel cut oats are used to make instant , baby and quick rolled oats , whereas whole oat groats are used to make regular , medium and thick rolled oats .	subject<is>hordei<and>relation<is>caused by<and>object<is>Rhynchosporium secalis<then>subject<is>hordei<and>relation<is>caused by<and>object<is>Puccinia hordei<then>subject<is>hordei<and>relation<is>caused by<and>object<is>Puccinia coronata<then>subject<is>hordei<and>relation<is>caused by<and>object<is>Cochliobolus sativus
Gilbert Hinojosa , Texas Democratic Party Chairman , said in a statement , `` We call on Governor Perry to immediately step down from office .	subject<is>ruling Austria -- Hungary<and>relation<is>became increasingly difficult in<and>object<is>an age of emerging nationalist movements<then>subject<is>ruling Austria -- Hungary<and>relation<is>required<and>object<is>considerable reliance on an expanded secret police
The woman , still missing on Tuesday morning , is described as petite size , about 110 pounds , with a nose piercing and a tattoo on one arm saying `` Wanda Ree '' .	subject<is>Jorge Reinel<and>relation<is>is<and>object<is>expert cartographer<then>subject<is>Diogo Ribeiro<and>relation<is>is<and>object<is>Portuguese<then>subject<is>Diogo Ribeiro<and>relation<is>started working for<and>object<is>Charles V in 1518<then>subject<is>Diogo Ribeiro<and>relation<is>worked as<and>object<is>cartographer at the Casa de Contratación<then>subject<is>Jorge Reinel and Diogo Ribeiro<and>relation<is>took part in<and>object<is>development of the maps<then>subject<is>maps<and>relation<is>to be used in<and>object<is>the travel
The primary criterion to be used for selection of the banks is size -- banks with size larger than 2 % of the GDP -LRB- Gross Domestic Product -RRB- as defined by Basel regulations .	subject<is>Winds<and>relation<is>reached<and>object<is>60 mile per hour
The agreement calls for those nations to refrain from fishing there until there is better scientific knowledge about the marine resources and until a regulatory system is in place to protect those resources .	subject<is>advances<and>relation<is>have led to<and>object<is>more efficient methods for training deep neural networks<then>subject<is>advances<and>relation<is>have led to<and>object<is>methods for training deep neural networks<then>subject<is>advances<and>relation<is>have led to<and>object<is>efficient methods for training deep neural networks<then>subject<is>advances<and>relation<is>have led to<and>object<is>training deep neural networks<then>subject<is>advances<and>relation<is>have led to<and>object<is>deep neural networks<then>subject<is>advances<and>relation<is>have led to<and>object<is>neural networks<then>subject<is>advances<and>relation<is>have led to<and>object<is>networks<then>subject<is>machine learning algorithms<and>relation<is>have led to<and>object<is>more efficient methods for training deep neural networks<then>subject<is>machine learning algorithms<and>relation<is>have led to<and>object<is>methods for training deep neural networks<then>subject<is>machine learning algorithms<and>relation<is>have led to<and>object<is>efficient methods for training deep neural networks<then>subject<is>machine learning algorithms<and>relation<is>have led to<and>object<is>training deep neural networks<then>subject<is>machine learning algorithms<and>relation<is>have led to<and>object<is>deep neural networks<then>subject<is>machine learning algorithms<and>relation<is>have led to<and>object<is>neural networks<then>subject<is>machine learning algorithms<and>relation<is>have led to<and>object<is>networks<then>subject<is>computer hardware<and>relation<is>have led to<and>object<is>more efficient methods for training deep neural networks<then>subject<is>computer hardware<and>relation<is>have led to<and>object<is>methods for training deep neural networks<then>subject<is>computer hardware<and>relation<is>have led to<and>object<is>efficient methods for training deep neural networks<then>subject<is>computer hardware<and>relation<is>have led to<and>object<is>training deep neural networks<then>subject<is>computer hardware<and>relation<is>have led to<and>object<is>deep neural networks<then>subject<is>computer hardware<and>relation<is>have led to<and>object<is>neural networks<then>subject<is>computer hardware<and>relation<is>have led to<and>object<is>networks<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>many layers of non-linear hidden units<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>layers of non-linear hidden units<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>non-linear hidden units<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>hidden units<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>units<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>a very large output layer<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>output layer<then>subject<is>training deep neural networks<and>relation<is>contain<and>object<is>layer
Not only did the Entente powers forbid German Austria to unite with Germany , but they also rejected the name German Austria in the peace treaty to be signed ; it was , therefore , changed to Republic of Austria in late 1919 .	subject<is>encyclopedias<and>relation<is>may contain<and>object<is>material<then>subject<is>material<and>relation<is>is also found in<and>object<is>dictionaries<then>subject<is>dictionaries<and>relation<is>is also found in<and>object<is>encyclopedias
The announcement of Muhammadi 's appointment to lead the country 's delegation followed a breakdown of talks on forming a unity government on Monday .	subject<is>He<and>relation<is>recorded<and>object<is>it with the Velvet Underground<then>subject<is>this version<and>relation<is>was released on<and>object<is>the VU album in 1985
These public universities are two of just eight across the city ; other prominent state universities in Istanbul include the Mimar Sinan Fine Arts University , which served as Turkey 's primary institution of art until the 1970s , and Marmara University , the country 's third-largest institution of higher learning .	subject<is>Post-industrial societies<and>relation<is>are dominated by<and>object<is>information, services, and high technology<then>subject<is>Post-industrial societies<and>relation<is>are dominated by<and>object<is>the production of goods
Adam Lynch has a lot more fun and a lot more deaths are planned that we intend to show this time .	subject<is>algorithms<and>relation<is>can require<and>object<is>enormous computational resources<then>subject<is>algorithms<and>relation<is>experience<and>object<is>a combinatorial explosion<then>subject<is>a combinatorial explosion<and>relation<is>becomes<and>object<is>astronomical for problems of a certain size
Barley -LRB- Hordeum vulgare L. -RRB- , a member of the grass family , is a major cereal grain grown in temperate climates globally .	subject<is>Fernandes<and>relation<is>said<and>object<is>`` I am touched by the massive show of support especially from my fellow airlines ''
His ` discourse ' , popular because it covers some of ideology 's terrain with less baggage , is too confined to verbal systems .	subject<is>Buses<and>relation<is>took<and>object<is>viewers from the car park below to top of the dam wall
The Lucca Conference renewed the First Triumvirate and extended Caesar 's governorship for another five years .	subject<is>Wittgenstein<and>relation<is>was a part of<and>object<is>the Vienna Circle<then>subject<is>Wittgenstein<and>relation<is>was not<and>object<is>actually the case
It was just beautiful to watch the ship fly away , '' said Kevin Ford , now the current commander of the ISS .	subject<is>Le Corbusier<and>relation<is>was heavily influenced by<and>object<is>problems he saw in industrial cities at the turn of the 20th century
The announcement also sees some newly placed ministers making their cabinet debuts , including Senator Mathias Cormann as the Minister for Finance and Member for Cook Scott Morrison taking up the role of Minister for Immigration and Border Protection .	subject<is>The Guardian<and>relation<is>released<and>object<is>South African government documents<then>subject<is>South African government documents<and>relation<is>revealed<and>object<is>an Israeli offer to sell nuclear weapons to the apartheid regime
Maris Otter , an English two-row winter variety commonly used in the production of malt for the brewing industry , no longer on the recommended list of approved malting barley varieties .	subject<is>guards<and>relation<is>suspect<and>object<is>people are entering for the purpose of destabilizing the country<then>subject<is>police<and>relation<is>reserve<and>object<is>the right to deny them entry to the country
Effluent taxes and marketable pollution permits represent a better approach to pollution control than imposition of pollution ceilings .	subject<is>The source of this waterway<and>relation<is>is at<and>object<is>Brower's Spring<then>subject<is>Brower's Spring<and>relation<is>is<and>object<is>8,800 feet -LRB- 2,700 m -RRB- above sea level<then>subject<is>Brower's Spring<and>relation<is>is in<and>object<is>southwestern Montana<then>subject<is>Brower's Spring<and>relation<is>is along<and>object<is>the Continental Divide<then>subject<is>Brower's Spring<and>relation<is>is outside<and>object<is>Yellowstone National Park
Social evolution as a phenomenon carries with it certain elements that could be detrimental to the population it serves .	subject<is>Four skiers<and>relation<is>failed to finish<and>object<is>their runs<then>subject<is>45 of the 117 total skiers<and>relation<is>failed to rank in<and>object<is>the race
Is the Indian government well prepared to deal with this cyclone ?	subject<is>Shoot<and>relation<is>this<and>object<is>dog
The French Government have raised the country 's security level to the maximum .	subject<is>The fire service<and>relation<is>said<and>object<is>the entire building was at risk of collapse<then>subject<is>the entire building<and>relation<is>passed<and>object<is>a safety inspection last month
After Katrina , when another powerful hurricane called Rita approached the same region in September 2005 , evacuation warnings were taken very seriously .	subject<is>She<and>relation<is>told<and>object<is>me<then>subject<is>I<and>relation<is>know<and>object<is>slashers better than most<then>subject<is>I<and>relation<is>could come up with<and>object<is>something fun and unique<then>subject<is>I<and>relation<is>did with<and>object<is>Adam Lynch and the film Sledge
Ukraine , the top ranked European side in the competition , entered the tournament having finished second at the Intercontinental Cup earlier in the year where they beat Russia , Slovenia , Brazil and Great Britain .	subject<is>Hitler<and>relation<is>ordered<and>object<is>an attack on France and the Low Countries<then>subject<is>an attack on France and the Low Countries<and>relation<is>began in<and>object<is>May 1940
Police in Western Australia revealed Monday they have reason to believe 59-year-old Francis John Wark was involved in the alleged murder of Hayley Marie Dodd .	subject<is>social and economic rights<and>relation<is>should be recognized depends on<and>object<is>ideology or economic theories<then>subject<is>basic human rights<and>relation<is>are defined purely by<and>object<is>the nature (mental and physical abilities) of human beings
At the Stable Gallery exhibit , the artist met for the first time poet John Giorno who would star in Warhol 's first film , Sleep , in 1963 .	subject<is>The creeds<and>relation<is>maintain that<and>object<is>Jesus bodily ascended into heaven<then>subject<is>Jesus<and>relation<is>reigns with<and>object<is>God the Father in the unity of the Holy Spirit<then>subject<is>Jesus<and>relation<is>will return to<and>object<is>judge the living and the dead and grant eternal life to his followers
Of that , 75 % is of the carbon emissions released from the production of crop assisting chemicals .	subject<is>UNRWA<and>relation<is>has affirmed<and>object<is>that the organization did not transfer arms to Hamas<then>subject<is>UNRWA<and>relation<is>had developed<and>object<is>a mechanism to handle the existence of arms in its facilities with the help of international experts
The De'an Shoucheng Lu , an account of the siege of De'an in 1132 , records that Song forces used fire-lances against the Jurchens .	subject<is>he<and>relation<is>notes that<and>object<is>it is problematic to rely on Maxwell's equations for the heuristic mass--energy argument
Blue Movie was publicly screened in New York City in 2005 for the first time in more that 30 years .	subject<is>Rates of symptomatic infections<and>relation<is>increase in<and>object<is>the elderly<then>subject<is>the elderly<and>relation<is>due to<and>object<is>declining immunity
Symbolic representations can be used to indicate meaning and can be thought of as a dynamic process .	subject<is>the child<and>relation<is>was playing with<and>object<is>matches<then>subject<is>the child<and>relation<is>was playing in<and>object<is>a warehouse<then>subject<is>the child<and>relation<is>was playing on<and>object<is>the top-floor<then>subject<is>the child<and>relation<is>was playing in<and>object<is>Yiwu Commodity Mall<then>subject<is>Yiwu Commodity Mall<and>relation<is>is<and>object<is>a four-storey building
Trees and other plants can also promote snow retention on the ground , which would otherwise be blown elsewhere or melted by the sun .	subject<is>One eyewitness<and>relation<is>commenting to<and>object<is>BBC News<then>subject<is>One eyewitness<and>relation<is>called<and>object<is>the rescuers<then>subject<is>the rescuers<and>relation<is>brave considering<and>object<is>the state of the sea
In other cases the forces may be distributed among a large number of members , as in a truss .	subject<is>The Civil Aviation Authority of Singapore<and>relation<is>is<and>object<is>ready to provide any assistance to support the search and rescue effort<then>subject<is>The Civil Aviation Authority of Singapore<and>relation<is>according to<and>object<is>a statement
He also set the precedent , which his imperial successors followed , of requiring the Senate to bestow various titles and honours upon him .	subject<is>Oat flakes<and>relation<is>also known as<and>object<is>rolled oats<then>subject<is>Oat flakes<and>relation<is>have<and>object<is>many different sizes, thicknesses and other characteristics<then>subject<is>many different sizes, thicknesses and other characteristics<and>relation<is>depending on<and>object<is>the size of oat groats passed between the rolls
Caitlin Hayden , spokeswoman for the White House , reacted to the British vote by saying : `` The US will continue to consult with the UK Government -- one of our closest allies and friends . ''	subject<is>EUR<and>relation<is>have been announced with the involvement of<and>object<is>Austrian firms
States that are sovereign are known as sovereign states .	subject<is>West Virginia<and>relation<is>seceded from<and>object<is>Virginia<then>subject<is>state<and>relation<is>has successfully seceded<and>object<is>
In this story , each blind man feels a different part of an elephant : its trunk , leg , ear , and so on .	subject<is>human beings<and>relation<is>have engaged in<and>object<is>ethical reasoning
A research team from the Massachusetts Institute of Technology and Colorado State University of the US and the University of Sheffield of the UK has analysed effects of global warming and ozone pollution over 2000 -- 2050 on the worldwide production of wheat , rice , maize and soybean .	subject<is>our party<and>relation<is>will stand exposed<and>object<is>
The Netherlands dropped four places to be ranked fifteenth .	subject<is>Unemployment in the Eurozone<and>relation<is>is set to reach<and>object<is>12.2 % in 2013<then>subject<is>Unemployment in the Eurozone<and>relation<is>an increase from<and>object<is>the 2012 level of 11.4 %
With the exception of other PI , non-churchgoing teens were also more likely to rarely eat pies , fast food , and fried food compared to their churchgoing peers .	subject<is>Rachilla<and>relation<is>bears<and>object<is>florets
`` All they 're going to do is wear headphones and these -LSB- devices -RSB- will make no difference at all . ''	subject<is>main factor<and>relation<is>affecting<and>object<is>sea level over time<then>subject<is>main factor<and>relation<is>result of<and>object<is>changes in the oceanic crust<then>subject<is>changes in the oceanic crust<and>relation<is>with<and>object<is>downward trend<then>subject<is>downward trend<and>relation<is>expected to continue in<and>object<is>very long term
Indeed , I could imagine that , behind the scenes , the Chinese pushed North Korea toward this cooperation , as this is somewhat unusual for NK .	subject<is>IPCC projections<and>relation<is>span<and>object<is>`` likely '' range<then>subject<is>IPCC projections<and>relation<is>span<and>object<is>greater than 66 % probability<then>subject<is>IPCC projections<and>relation<is>span<and>object<is>based on expert judgement<then>subject<is>IPCC projections<and>relation<is>span<and>object<is>selected emissions scenarios
The team is scheduled to play their first game against the ninth ranked United States men 's team on Monday morning , before playing twenty-first ranked Germany later in the afternoon .	subject<is>line of research<and>relation<is>asks about<and>object<is>languages other than English<then>subject<is>line of research<and>relation<is>is<and>object<is>interesting finding<then>subject<is>languages<and>relation<is>have<and>object<is>similar but not identical term
By contrast , use of the spermicide nonoxynol-9 may increase the risk of transmission due to its tendency to cause vaginal and rectal irritation .	subject<is>Texans<and>relation<is>deserve<and>object<is>real leadership<then>subject<is>this<and>relation<is>is unbecoming of<and>object<is>our governor
Researchers also found that across all PI groups , non-churchgoing teens were more likely to have less than one serving of fruit a day and were a bit more likely to not eat lunch .	subject<is>Harnock<and>relation<is>was tied for first with<and>object<is>Mexico's Floralia Estrada Bernal in the competition for 3 point field goal percentage at 20%<then>subject<is>Harnock<and>relation<is>was ranked second in the tournament for<and>object<is>most 3 point field goals made with one
Under pressure from politicians , industrialists , and the business community , President Paul von Hindenburg appointed Hitler as Chancellor of Germany on 30 January 1933 .	subject<is>Officials<and>relation<is>have yet to confirm if<and>object<is>foul play is suspected in the deaths
Since any time-varying system can be embedded within a larger time-invariant system -LRB- with the exception of the universe -RRB- , conservation can always be recovered by a suitable re-definition of what energy is and extending the scope of your system .	subject<is>Current South African President Jacob Zuma<and>relation<is>made<and>object<is>an appeal to the people of South Africa and the world to pray for our beloved Madiba and his family and to keep them in their thoughts<then>subject<is>Current South African President Jacob Zuma<and>relation<is>said<and>object<is>We have full confidence in the medical team and know that they will do everything possible to ensure [his] recovery
The last delegation in the parade was the local one , Colombia , which was also the most cheered .	subject<is>he<and>relation<is>crossed into<and>object<is>Britain<then>subject<is>he<and>relation<is>claimed that<and>object<is>the Britons had aided one of his enemies the previous year<then>subject<is>the Britons<and>relation<is>aided<and>object<is>one of his enemies the previous year<then>subject<is>the Britons<and>relation<is>aided<and>object<is>the Veneti of Brittany
The latter entity provides overall government for the metropolitan region .	subject<is>forces<and>relation<is>may be distributed among<and>object<is>a large number of members<then>subject<is>forces<and>relation<is>may be distributed among<and>object<is>a truss
Abolitionists in Europe and America protested the inhumane treatment of African slaves , which led to the elimination of the slave trade by the late 18th century .	subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>the 124,392 who speak German as their mother tongue even though they hail from outside of Austria -LRB- mainly immigrants from Germany , some from Switzerland , South Tyrol in Italy , Romania , or the former Soviet Union -RRB-<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>123,417 English<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>24,446 Albanian<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>17,899 Polish<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>14,699 Hungarian<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>12,216 Romanian<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>10,000 Malayali<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>7,982 Arabic<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>6,891 Slovak<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>6,707 Czech<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>5,916 Persian<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>5,677 Italian<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>5,466 Russian<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>5,213 French<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>4,938 Chinese<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>4,264 Spanish<then>subject<is>The next largest population of linguistic and ethnic groups<and>relation<is>are<and>object<is>3,503 Bulgarian
The Indian Navy has reportedly placed three ships and a Boeing P8-1 on standby to help .	subject<is>Yesh Atid party<and>relation<is>led by<and>object<is>Yair Lapid<then>subject<is>Yesh Atid party<and>relation<is>is set to play<and>object<is>an important part<then>subject<is>Yesh Atid party<and>relation<is>in negotiations over<and>object<is>the formation of a coalition government
In practice , indentured servants were exploited through terrible working conditions and burdensome debts created by the employers , with whom the servants had no means of negotiating the debt once they arrived in the colony .	subject<is>Most Christians<and>relation<is>believe that<and>object<is>human beings experience divine judgment and are rewarded either with eternal life or eternal damnation
Also buying hot dogs , hamburgers for the small crew .	subject<is>He<and>relation<is>also invited<and>object<is>people from all over Europe to his capital<then>subject<is>people from all over Europe<and>relation<is>were invited to<and>object<is>his capital<then>subject<is>He<and>relation<is>creating<and>object<is>a cosmopolitan society<then>subject<is>a cosmopolitan society<and>relation<is>persisted through<and>object<is>much of the Ottoman period
However , and this is important , it still will contain lots of rainfall making flooding an almost certainty .	subject<is>Microsoft<and>relation<is>development of<and>object<is>a Skype system that can automatically translate from one language to another<then>subject<is>Facebook<and>relation<is>system that can describe<and>object<is>images to blind people
`` Despite an increase in vehicle miles driven and energy consumption , surface ozone has declined by 25 percent on average across the U.S. from 1980 to 2012 -LSB- ... -RSB- However , the future of ozone air quality in the U.S. and around the world will depend on local emissions , the use of pollution control technology , regulations , and air quality policy . ''	subject<is>President Barack Obama<and>relation<is>paid tribute to<and>object<is>Williams<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>an airman<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>a doctor<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>a genie<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>a nanny<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>a president<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>a professor<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>a bangarang Peter Pan<then>subject<is>Robin Williams<and>relation<is>was<and>object<is>everything in between
One anonymous eyewitness quoted by the BBC described the attack : `` They grabbed the guy towards the wall then stabbed him -- stabbed him , stabbed him , cut his neck , and then dragged him into the middle of the road '' .	subject<is>The term emotion<and>relation<is>was introduced into<and>object<is>academic discussion<then>subject<is>The term emotion<and>relation<is>to replace<and>object<is>passion
Caesar even took steps to transform Italy into a province , and to link more tightly the other provinces of the empire into a single cohesive unit .	subject<is>The saola<and>relation<is>had not been seen in<and>object<is>Vietnam since 1998<then>subject<is>The saola<and>relation<is>is<and>object<is>an antelope-like animal with long horns<then>subject<is>Quảng Nam Forest Protection Department Deputy Head Dang Dinh Nguyen<and>relation<is>said<and>object<is>The saola had not been seen in Vietnam since 1998
Kylie Gauchi responded quickly with a good shot , leveling the score .	subject<is>human languages<and>relation<is>can be described as<and>object<is>closed structural systems consisting of rules<then>subject<is>closed structural systems<and>relation<is>consisting of<and>object<is>rules<then>subject<is>rules<and>relation<is>relate<and>object<is>particular signs to particular meanings
The Wee W store , located in the Outer Hebrides of Scotland , yesterday announced its intention to cease operating `` in the next few weeks '' , subject to any potential acquisition of the company .	subject<is>WWF<and>relation<is>estimates<and>object<is>only a few dozen saola<then>subject<is>WWF<and>relation<is>estimates<and>object<is>at most a few hundred<then>subject<is>saola<and>relation<is>survive in<and>object<is>remote, dense upland forests<then>subject<is>saola<and>relation<is>survive in<and>object<is>Vietnam's border with Laos
Back in May , a signal consistent with that of a radio beacon was detected in the area , but nothing turned up that helped with the search .	subject<is>The crowd<and>relation<is>included<and>object<is>the familiar block of Gliders fans in yellow T-shirts
Digambara monks and nuns carry a broom-like object , called a picchi -LRB- made from fallen peacock feathers -RRB- to sweep the ground ahead of them or before sitting down to avoid inadvertently crushing small insects .	subject<is>Josh Levin<and>relation<is>said<and>object<is>that voters would feel the ripples of this monumental victory across the country for years to come
In general , dopants that produce the desired controlled changes are classified as either electron acceptors or donors .	subject<is>John Dilworth<and>relation<is>of<and>object<is>Crown Prosecution Service -LRB- CPS -RRB-<then>subject<is>John Dilworth<and>relation<is>said<and>object<is>there was `` sufficient evidence for a realistic prospect of conviction and ... it is in the public interest to prosecute this case . ''
The team needs to finish in the top four in their group to advance to the second round .	subject<is>swine-origin H1N1 virus strain<and>relation<is>caused<and>object<is>2009 flu pandemic<then>subject<is>swine-origin H1N1 virus strain<and>relation<is>is<and>object<is>referred to as 'swine flu'<then>subject<is>swine-origin H1N1 virus strain<and>relation<is>is<and>object<is>not endemic to pigs<then>subject<is>swine-origin H1N1 virus strain<and>relation<is>is<and>object<is>spreading from person to person<then>subject<is>swine-origin H1N1 virus strain<and>relation<is>is<and>object<is>not transmitted from pigs to people
In the fourth quarter , the Australian defence remained taut , but the shooting remained terrible .	subject<is>The dialogue Ion<and>relation<is>suggests that<and>object<is>Homer's Iliad functioned in the ancient Greek world as the Bible does today in the modern Christian world<then>subject<is>Homer's Iliad<and>relation<is>functioned as<and>object<is>divinely inspired literature<then>subject<is>Homer's Iliad<and>relation<is>functioned as<and>object<is>literature that can provide moral guidance<then>subject<is>Homer's Iliad<and>relation<is>can provide<and>object<is>moral guidance<then>subject<is>Homer's Iliad<and>relation<is>can provide<and>object<is>moral guidance if only it can be properly interpreted
The `` chip '' or `` half-swing '' is used for relatively short-distance shots near the green , with high-lofted irons and wedges .	subject<is>The magazine<and>relation<is>recently posted<and>object<is>a cartoon on Twitter<then>subject<is>a cartoon<and>relation<is>depicting<and>object<is>Abu Bakr al-Baghdadi<then>subject<is>Abu Bakr al-Baghdadi<and>relation<is>is<and>object<is>a leader of the Islamic State militant group
South Africa selected a multi-racial team for the next Games , and the IOC opted for incorporation in the 1968 Games in Mexico .	subject<is>Salinity in the open ocean<and>relation<is>is generally in<and>object<is>a narrow band around 3.5 % by mass<then>subject<is>Salinity in the open ocean<and>relation<is>can vary in<and>object<is>more landlocked waters<then>subject<is>Salinity in the open ocean<and>relation<is>can vary in<and>object<is>near the mouths of large rivers<then>subject<is>Salinity in the open ocean<and>relation<is>can vary in<and>object<is>at great depths
Conscientious objection is legally acceptable and those who claim this right are obliged to serve an institutionalised nine months civilian service instead .	subject<is>Mandela<and>relation<is>underwent<and>object<is>an arranged medical check-up<then>subject<is>Mandela<and>relation<is>has been hospitalised<and>object<is>at least four times since the start of 2011<then>subject<is>Mandela<and>relation<is>was treated for<and>object<is>gallstones and a lung infection<then>subject<is>Mandela<and>relation<is>was hospitalised<and>object<is>on December 8 last year
Membership of the programme would allow Australia to decide the extent of its involvement in any NATO led military operations .	subject<is>Arabic script<and>relation<is>is used to write<and>object<is>other texts rather than Koran only<then>subject<is>rendering lām + lām + hā<and>relation<is>is considered<and>object<is>the previous ligature is considered faulty<then>subject<is>If one of a number of fonts<and>relation<is>is installed on<and>object<is>a computer<then>subject<is>Noto Naskh Arabic<and>relation<is>is supported by<and>object<is>Wikimedia web-fonts<then>subject<is>the word<and>relation<is>will appear without<and>object<is>diacritics
Despite the intervention in parts of Crimea , Ukraine by forces connected to Russia in the past few days , the rail border between the countries remains open today .	subject<is>The game<and>relation<is>was<and>object<is>the first for Great Britain in the country's history<then>subject<is>Great Britain<and>relation<is>never qualified<and>object<is>a team before
However , historically , there have been several events that should cause a societal response .	subject<is>One difference<and>relation<is>deserves to be noted<and>object<is>
In 1828 Friedrich Wöhler produced the organic chemical urea -LRB- carbamide -RRB- , a constituent of urine , from inorganic starting materials -LRB- the salts potassium cyanate and ammonium sulfate -RRB- , in what is now called the Wöhler synthesis .	subject<is>Mervin F. Verbit<and>relation<is>is<and>object<is>sociologist<then>subject<is>knowledge<and>relation<is>may be understood as<and>object<is>one of the key components of religiosity
